Loci	Replicate	Processors	Hours	Minutes	Seconds	Iterations/Minute	Time
5	1	10	0	1	16	7894.736842	0.021111111
5	1	12	0	1	6	9090.909091	0.018333333
5	1	15	0	0	52	11538.46154	0.014444444
5	1	1	0	10	31	950.8716323	0.175277778
5	1	20	0	0	41	14634.14634	0.011388889
5	1	2	0	5	25	1846.153846	0.090277778
5	1	3	0	3	41	2714.932127	0.061388889
5	1	4	0	2	49	3550.295858	0.046944444
5	1	5	0	2	21	4255.319149	0.039166667
5	1	6	0	2	1	4958.677686	0.033611111
5	2	10	0	1	16	7894.736842	0.021111111
5	2	12	0	1	6	9090.909091	0.018333333
5	2	15	0	0	53	11320.75472	0.014722222
5	2	1	0	10	31	950.8716323	0.175277778
5	2	20	0	0	41	14634.14634	0.011388889
5	2	2	0	5	23	1857.585139	0.089722222
5	2	3	0	3	42	2702.702703	0.061666667
5	2	4	0	2	49	3550.295858	0.046944444
5	2	5	0	2	21	4255.319149	0.039166667
5	2	6	0	2	0	5000	0.033333333
5	3	10	0	1	16	7894.736842	0.021111111
5	3	12	0	1	6	9090.909091	0.018333333
5	3	15	0	0	52	11538.46154	0.014444444
5	3	1	0	10	31	950.8716323	0.175277778
5	3	20	0	0	41	14634.14634	0.011388889
5	3	2	0	5	23	1857.585139	0.089722222
5	3	3	0	3	42	2702.702703	0.061666667
5	3	4	0	2	49	3550.295858	0.046944444
5	3	5	0	2	21	4255.319149	0.039166667
5	3	6	0	2	1	4958.677686	0.033611111
5	4	10	0	1	15	8000	0.020833333
5	4	12	0	1	4	9375	0.017777778
5	4	15	0	0	52	11538.46154	0.014444444
5	4	1	0	10	31	950.8716323	0.175277778
5	4	20	0	0	41	14634.14634	0.011388889
5	4	2	0	5	23	1857.585139	0.089722222
5	4	3	0	3	42	2702.702703	0.061666667
5	4	4	0	2	49	3550.295858	0.046944444
5	4	5	0	2	21	4255.319149	0.039166667
5	4	6	0	2	1	4958.677686	0.033611111
5	5	10	0	1	16	7894.736842	0.021111111
5	5	12	0	1	4	9375	0.017777778
5	5	15	0	0	52	11538.46154	0.014444444
5	5	1	0	10	31	950.8716323	0.175277778
5	5	20	0	0	41	14634.14634	0.011388889
5	5	2	0	5	23	1857.585139	0.089722222
5	5	3	0	3	42	2702.702703	0.061666667
5	5	4	0	2	49	3550.295858	0.046944444
5	5	5	0	2	21	4255.319149	0.039166667
5	5	6	0	2	0	5000	0.033333333
